name,storage,lock_status,condition,price,amz,original_feed_price,amazon_price,after_amazon,sellcell_fee,shipping_fee,condition_fee,total_walkaway,profit,profit_pct,new_price,new_profit,new_profit_pct,status
GALAXY S21+,128GB,att,flawless,$99.06 ,154.0,88.00,154.00,131.68,10.53,15.00,10.00,96.15,8.15,9.26%,84.00,12.15,14.46%,Repriced to hit 15% profit
GALAXY S21+,128GB,att,good,$96.00 ,154.0,77.00,154.00,131.68,10.53,15.00,10.00,96.15,19.15,24.86%,78.00,18.15,23.26%,Already ≥ 15% profit – bumped $1.00
GALAXY S21+,128GB,att,fair,$57.00 ,154.0,31.00,154.00,131.68,10.53,15.00,30.00,76.15,45.15,145.63%,36.00,40.15,111.52%,Already ≥ 15% profit – bumped $5.00
GALAXY S21+,128GB,att,broken,$26.00 ,154.0,17.00,154.00,131.68,10.53,15.00,50.00,56.15,39.15,230.27%,22.00,34.15,155.21%,Already ≥ 15% profit – bumped $5.00
GALAXY S21+,128GB,verizon,flawless,$86.00 ,154.0,68.00,154.00,131.68,10.53,15.00,10.00,96.15,28.15,41.39%,69.00,27.15,39.34%,Already ≥ 15% profit – bumped $1.00
GALAXY S21+,128GB,verizon,good,$71.00 ,154.0,52.00,154.00,131.68,10.53,15.00,10.00,96.15,44.15,84.90%,57.00,39.15,68.68%,Already ≥ 15% profit – bumped $5.00
GALAXY S21+,128GB,verizon,fair,$33.00 ,154.0,24.00,154.00,131.68,10.53,15.00,30.00,76.15,52.15,217.27%,29.00,47.15,162.57%,Already ≥ 15% profit – bumped $5.00
GALAXY S21+,128GB,verizon,broken,$17.00 ,154.0,12.00,154.00,131.68,10.53,15.00,50.00,56.15,44.15,367.88%,17.00,39.15,230.27%,Already ≥ 15% profit – bumped $5.00
GALAXY S21+,128GB,tmobile,flawless,$84.00 ,154.0,68.00,154.00,131.68,10.53,15.00,10.00,96.15,28.15,41.39%,69.00,27.15,39.34%,Already ≥ 15% profit – bumped $1.00
GALAXY S21+,128GB,tmobile,good,$66.00 ,154.0,50.63,154.00,131.68,10.53,15.00,10.00,96.15,45.52,89.90%,56.00,40.15,71.69%,Already ≥ 15% profit – bumped $5.00
GALAXY S21+,128GB,tmobile,fair,$37.00 ,154.0,31.00,154.00,131.68,10.53,15.00,30.00,76.15,45.15,145.63%,36.00,40.15,111.52%,Already ≥ 15% profit – bumped $5.00
GALAXY S21+,128GB,tmobile,broken,$18.00 ,154.0,12.00,154.00,131.68,10.53,15.00,50.00,56.15,44.15,367.88%,17.00,39.15,230.27%,Already ≥ 15% profit – bumped $5.00
GALAXY S21+,128GB,unlocked,flawless,$99.06 ,179.0,91.00,179.00,154.68,12.37,15.00,10.00,117.31,26.31,28.91%,92.00,25.31,27.51%,Already ≥ 15% profit – bumped $1.00
GALAXY S21+,128GB,unlocked,good,$98.00 ,179.0,79.00,179.00,154.68,12.37,15.00,10.00,117.31,38.31,48.49%,82.00,35.31,43.06%,Already ≥ 15% profit – bumped $3.00
GALAXY S21+,128GB,unlocked,fair,$71.00 ,179.0,46.00,179.00,154.68,12.37,15.00,30.00,97.31,51.31,111.53%,51.00,46.31,90.80%,Already ≥ 15% profit – bumped $5.00
GALAXY S21+,128GB,unlocked,broken,$31.00 ,179.0,22.00,179.00,154.68,12.37,15.00,50.00,77.31,55.31,251.39%,27.00,50.31,186.32%,Already ≥ 15% profit – bumped $5.00
GALAXY S21+,256GB,att,flawless,$99.06 ,210.54,98.00,210.54,183.70,14.70,15.00,10.00,144.00,46.00,46.94%,101.00,43.00,42.58%,Already ≥ 15% profit – bumped $3.00
GALAXY S21+,256GB,att,good,$96.00 ,210.54,87.00,210.54,183.70,14.70,15.00,10.00,144.00,57.00,65.52%,90.00,54.00,60.00%,Already ≥ 15% profit – bumped $3.00
GALAXY S21+,256GB,att,fair,$57.00 ,210.54,41.00,210.54,183.70,14.70,15.00,30.00,124.00,83.00,202.44%,46.00,78.00,169.57%,Already ≥ 15% profit – bumped $5.00
GALAXY S21+,256GB,att,broken,$26.00 ,210.54,20.00,210.54,183.70,14.70,15.00,50.00,104.00,84.00,420.01%,25.00,79.00,316.00%,Already ≥ 15% profit – bumped $5.00
